English;Vietnamese
lung linh; sparkling, shining
ăn năn; repent
chậm chạp; slow
nhanh nhẹn; agile
lạnh lùng; cold, glacial
gắt gỏng; to scold
che chở; to protect
gặp gỡ; to meet
chiều chuộng; to pamper
béo bở; lucrative
cộc cằn; rude
bực bội; displeased
dễ dàng; easy
dịu dàng; tender
cằn nhằn; to grumble
bảnh bao; dapper
chen chúc; to hustle
bừa bãi; mess, untidy
bưng bít; to suppress
chín chắn; mature
dụ dỗ; to lure
dõng dạc; to sedate
bụi bặm; dusty
dang dở; fruitless
gan góc; fearless
dửng dưng; unconcerned
vớ vẩn; nonsense
vui vẻ; happy
mệt mỏi; tired
lơ lửng; to float
ngẩn ngơ; astounded
lo lắng; to worry
