German,Vietnamese
chi tiết; detail
công nghệ; technology
dự án; (a) project
bài báo; (news) article
khoa học; science
sự phân tích; analysis
năng lượng; energy
thuyết; theory
phương pháp; method, way
thí nghiệm; experiment
mẫu vật; sample
tốc độ; speed, rate
định nghĩa; to define
nhiệt độ; temperature
thể tích; volume (area)
giới hạn; limit
khoảng cách; distance
số lượng; number, amount
khối lượng; mass
phòng thí nghiệm; laboratory
độ sâu; depth
trọng lượng; weight
đo; measure
toán; math
vật lý; physics
mét; meter
chiều; height
triết học; philosophy
khái niệm; definition, concept
địa lý; geography
kết luận; conclusion
khám phá; to discover
hoá học; chemistry
sinh học; biology
cơ học lượng tử; quantum mechnics
tăng; increase
công thức; formula
vận tốc; velocity
giảm; decrease
