English;German
the road; la carretera
the living room (s..) (masc.); el salón
the homeland; la patria
the festival; el festival
the tower; la torre
the home (h..); el hogar
the border; la frontera
the backyard; el patio
the track, the clue; la pista
the avenue; la avenida
the continent; el continente
the bar; el bar
the corner; la esquina
the library, the bookcase; la biblioteca
the route; la ruta
the colony; la colonia
west; oeste
the gallery; la galería
the agency; la agencia
the distance; la distancia
the capital (main city); la capital
