English,Spanish
time, the weather (t..); el tiempo
the age; la edad
the group; el grupo
the type, the guy; el tipo
the process; el proceso
reality; la realidad
the change; el cambio
the work (of art); la obra
the information; la información
the name; el nombre
the truth; la verdad
the action; la acción
the service; el servicio
the production; la producción
peace; la paz
the sector; el sector
the image; la imagen
the movement; el movimiento
the activity; la actividad
the possibility; la posibilidad
the code (masc.); el código
the capacity; la capacidad
