German,Spanish
"der Leser", "lector"
"die Universität", "universidad"
"der Stift", "bolígrafo, lápiz"
"die Grundschule", "escuela primaria"
"die Übung", "práctica, ejercicio"
"die Note", "nota"
"die Bildung", "educación"
"der Test", "exámen, prueba"
"die Tests", "exámenes"
"die Forschung", "investigación"
"das Studium", "estudio"
"die Schule", "escuela"
"die Klasse", "clase"
"das Seminar", "seminario"
"die Bibliothek", "biblioteca"
"die Lehre", "aprendizaje, teoría"
"die Ausbildung", "estudio, formación"
"das Training", "entrenamiento"
"die Hochschule", "universidad"
"das Institut", "instituto"
"der Unterricht", "clase"
"die Akademie", "academia"
"die Erziehung", "educación, crianza"
"die Uni", "universidad (informal)"
"die Weiterbildung", "curso de perfeccionamiento"
"die Prüfung", "exámen"
"der Kindergarten", "jardín de infancia"
"der Fachbereich", "división, departamento"
"überlegen", "pensar sobre, considerar"
