German,Spanish
"heute", "hoy"
"da", "allá, allí"
"noch", "todavía, aún"
"noch eins", "otro, otra"
"so", "tan"
"nur", "solamente"
"gestern", "ayer"
"jetzt", "ahora"
"immer", "siempre"
"auch", "también, tampoco, incluyendo"
"weder", "ni"
"hier", "aquí"
"wieder", "otra vez"
"gerne", "con placer, gustosamente"
"schon", "ya"
"sofort", "inmediatamente, en seguida"
"bereits", "ya"
"dort", "ahí"
"allein", "sola"
"selbst", "incluso, hasta"
"dann", "después, luego, entonces"
"weg", "ausente, camino"
"somit", "por lo tanto"
"selber", "ni"
"damit", "con eso; para (conjunción subordinante)"
"hingegen", "por el contrario"
"zuletzt", "por último"
"dabei", "consigo; en ello, en esto (estar en ello, ayudar con ello, etc.)"
"zuerst", "primer"
"darüber", "de esto, sobre esto"
"besonders", "especial, especialmente, particular, peculiar"
"nun", "ahora, conque"
"etwa", "aproximadamente, alrededor de, más o menos"
"genauso", "así como"
"überhaupt", "en absoluto, en resumidas cuentas"
"dazu", "con ello"
"daher", "por lo tanto, por eso"
"sonst", "normalmente, por lo demás, si no, en caso contrario"
"danach", "después"
"einmal", "una vez, alguna vez"
"durchaus", "absolutamente, totalmente"
"außerdem", "además, adicionalmente"
"mindestens", "por lo menos, como minimo"
"dennoch", "a pesar de todo, no obstante"
"meistens", "la mayoría (de las veces)"
"je", "con ello"
"fast", "casi"
"kaum", "apenas, escasamente"
"jedenfalls", "el caso es que..."
"innen", "por dentro"
"spätestens", "a más tardar"
"oben", "arriba"
"jedoch", "sin embargo"
