English,Spanish
"the pasture, the lawn, the grass", "el pasto"
"the sea", "el mar"
"the flower", "la flor"
"the heat", "el calor"
"the tree", "el árbol"
"the moon", "la luna"
"the world", "el mundo"
"the volcano", "el volcán"
"the fire", "el fuego"
"the earth", "la tierra"
"the rain", "la lluvia"
"the sun", "el sol"
"the river", "el río"
"the sky", "el cielo"
"the wood", "la madera"
"the field", "el campo"
"nature", "la naturaleza"
"the species", "la especie"
"evolution", "la evolución"
"the air", "el aire"
"the light", "la luz"
"the planet", "el planeta"
"the stone", "la piedra"
