English;German
famous; famoso
particular; particular
convenient; conveniente
previous; previo
negative; negativo
pending; pendiente
high, tall, elevated (e..); elevado
scarce; escaso
bright, shiny, sparkling, brilliant; brillante
basic; básico
difficult; difícil
private; privado
perfect; perfecto
alive; vivo
bitter, sour, acidic; ácido
minimum, minimal; mínimo
free (at liberty, available); libre
legal; legal
weak, faint, dim; débil
formal; formal
present (of place); presente
feminine; femenino
equal, same (i..); igual
quiet, calm, peaceful; tranquilo
simple, easy, straightforward (se..); sencillo
multiple; múltiple
