German,Spanish
"der Fußball", "fútbol"
"das Schwimmbad", "piscina"
"das Fahrrad", "bicicleta"
"der Ball", "pelota"
"die Aktivität", "actividad"
"die Bundesliga", "primera división"
"der Zuschauer", "espectador"
"der Sport", "deporte"
"das Tennis", "tenis"
"der Sieg", "victoria"
"der Liga", "liga"
"das Team", "equipo"
"der Ski", "esquí"
"die Teilnahme", "participación"
"die Bewegung", "movimiento"
"die Freizeit", "tiempo libre"
"das Gymnasium", "escuela secundaria"
"der Spiel", "juego, partido"
"das Hobby", "pasatiempos"
"der Spieler", "jugador"
