English,German
"knowledge (not wissenschaft)", "die Kenntnis"
"agriculture", "die Landwirtschaft"
"energy", "die Energie"
"physics", "die Physik"
"invention, concept", "die Erfindung"
"definition", "die Definition"
"mathematics", "die Mathematik"
"plastic", "der Kunststoff"
"degree", "der Grad"
"internship", "das Praktikum"
"analysis", "die Analyse"
"knowledge (not Kenntnis)", "die Wissenschaft"
"philosophy", "die Philosophie"
"to know (sth.)", "wissen"
"technology", "die Technik"
"biology", "die Biologie"
"machine", "die Maschine"
"gas", "das Gas"
"motor", "der Motor"
"diesel", "der Diesel"
"evidence", "der Nachweis"
"respect, esteem, consideration", "die Achtung"
"look out!", "Achtung!"
"academy", "die Akademie"
