English;German
the restaurant; el restaurante
the beach; la playa
the hotel; el hotel
the garden; el jardín
the airport; el aeropuerto
the street; la calle
where; dónde
the coffee; el café
the city; la ciudad
the home, house (c..); la casa
the castle; el castillo
the place (l..); el lugar
the country; el país
the area (z..); la zona
the community; la comunidad
the university; la universidad
the bank, the bench; el banco
the (city) square; la plaza
the region; la región
the school (e..); la escuela
the room (c..); el cuarto
