English,German
"sale", "der Verkauf"
"bill, payment", "die Zahlung"
"publishing house", "der Verlag"
"insurance", "die Versicherung"
"regulation", "die Bestimmung"
"delivery", "die Lieferung"
"industry", "die Industrie"
"chance", "die Chance"
"to report", "anzeigen"
"guarantee", "die Garantie"
"offer, proposal", "das Angebot"
"company", "die Firma"
"colleague", "der Kollege"
"(Catholic) mass, fair, exhibition", "die Messe"
"market", "der Markt"
"application", "der Antrag"
"warehouse", "das Lager"
"assessment", "die Bewertung"
"deadline", "die Frist"
"payment", "die Bezahlung"
"to rent", "mieten"
"brand", "die Marke"
"office", "das Büro"
"interest (rate)", "der Zins"
"service", "der Service"
"ad", "die Werbung"
"contract, directions", "der Auftrag"
"customs", "der Zoll"
"to offer", "bieten"
"coin", "die Münze"
"amount", "der Betrag"
"achievement", "die Leistung"
"credit card", "die Kreditkarte"
"production", "die Produktion"
"chart, table", "die Tabelle"
"job offer", "das Stellenangebot"
"stock market", "die Börse"
"shopping cart", "der Einkaufswagen"
"logic", "die Logistik"
"account", "das Konto"
"price", "der Kurs"
"demand, requirement", "der Bedarf"
"service", "die Dienstleistung"
