English;German
the coat; el abrigo
the shirt; la camisa
the skirt; la falda
the stockings; la media
the pants; el pantalón
the clothes; la ropa
the hat; el sombrero
the dress; el vestido
the shoe; el zapato
the sock; el calcetín
the tie; la corbata
the suit; el traje
the boot; la bota
the sweater; el suéter
the belt; el cinturón
purple; púrpura
brown; marrón
the glasses (eyewear); las gafas
the jacket; la chaqueta
blue; azul
white; blanco
black; negro
red; rojo
green; verde
yellow; amarillo
the color; el color
grey; gris
orange; naranja
