English,German
"house", "das Haus"
"key", "der Schlüssel "
"bed", "das Bett"
"sofa", "das Sofa"
"chair", "der Stuhl"
"table", "der Tisch"
"toilet", "die Toilette"
"step, staircase", "die Treppe"
"window", "das Fenster"
"apartment", "die Wohnung"
"door", "die Tür"
"bath", "das Bad"
"light", "das Licht"
"lamp", "die Lampe"
"toy", "das Spielzeug"
"roof", "das Dach"
"central heating", "die Heizung"
"construction", "der Bau"
"cleaning", "die Reinigung"
"balcony", "der Balkon"
"basement, celler", "der Keller"
"wall", "die Wand"
"bedroom", "das Schlafzimmer"
"parade, procession", "der Umzug"
"gate", "das Tor"
"tool", "das Werkzeug"
"mirror", "der Spiegel"
"piece of furniture", "das Möbel"
"household appliance", "das Haushaltsgerät"
"place of residence", "der Wohnort"
"household", "der Haushalt"
"sleep (noun)", "der Schlaf"
"cup", "die Tasse"
"glass", "das Glas"
"plate", "der Teller"
"bottle", "die Flasche"
"spoon", "der Löffel"
"oil", "das Öl"
"bowl", "die Schüssel"
"leader", "der Leiter"
"battery", "die Batterie"
"duvet", "der Bettbezug"
"umbrella", "der Regenschirm"
"soap", "die Seife"
"razor", "der Rasierer"
"room", "der Raum"
"gadget, piece of equipment", "das Gerät"
"toothpaste", "die Zahnpasta"
"toothbrush", "die Zahnbürste"
"kitchen", "die Küche"
