German,Spanish
"die Planung", "planificación"
"die Ernfahrung", "experiencia"
"die Version", "versión"
"die Verbesserung", "mejoramiento"
"die Basis", "base"
"der Unterschied", "diferencia, distinción"
"das Programm", "programa"
"die Kategorie", "categoría"
"die Kraft", "fuerza"
"die Unterstützung", "el apoyo"
"der Liste", "lista"
"die Menge", "cantidad"
"die Eigenschaft", "propiedad (de un individuo)"
"das Original", "original"
"die Mittel", "medio, remedio, promedio"
"die Länge", "longitud"
"der Zugang", "aceso, entrada"
"die Position", "posición"
"der Vorschlag", "sugerencia, proposición"
"die Höhe", "altura"
"das Element", "elemento"
"die Spalte", "columna, fisura"
"die Rolle", "rol, papel"
"die Einführung", "introducción"
"die Verwendung", "el uso"
"der Hintergrund", "fondo, antedecentes"
"der Verlauf", "transcurso, duración"
"die Anleitung", "el manual"
"das Feld", "el campo, terreno"
"die Referenz", "referencia"
"die Stufe", "nivel, escalón"
"das Gewicht", "el peso"
"die Party", "fiesta"
"die Einzelheit", "detalle"
"die Wirkung", "efecto, impacto"
"der Überblick", "vista general, resumen"
"der Blick", "vista, mirada"
"die Kombination", "combinación"
"der Zustand", "estado, condición"
"der Kreis", "círculo"
"die Umsetzung", "aplicación"
"der Einsatz", "misión"
