English;German
program; das Programm
planning; die Planung
version; die Version
improvement; die Verbesserung
basis; die Basis
difference; der Unterschied
original; das Original
means, way; das Mittel
length; die Länge
access; der Zugang
position; die Position
proposal; der Vorschlag
altitude, height; die Höhe
element; das Element
guide book; die Anleitung
column, gap; die Spalte
introduction; die Einführung
usage; die Verwendung
background; der Hintergrund
progress, course; der Verlauf
field; das Feld
reference; die Referenz
step, stage; die Stufe
weight; das Gewicht
party; die Party
detail; die Einzelheit
effect; die Wirkung
view, look; der Blick
overview; der Überblick
combination; die Kombination
condition, state; der Zustand
circle; der Kreis
conversion; die Umsetzung
effort, use; der Einsatz
