la masa,the mass, the dough
el método,the method
el volumen,the volume
la filosofía,philosophy
la tesis,the thesis
el equilibrio,the balance
el límite,the border, the limit
la fórmula,the formula
el científico,the scientist
el promedio,the average
la sustancia,the substance
la atmósfera,the atmosphere (fem.)
la química,chemistry
el químico,the chemist
el núcleo,the nucleus
el laboratorio,the laboratory
la proporción,the proportion
el descubrimiento,the discovery
la observación,the observation
la profundidad,the depth
