English;German
baby; das Baby
German; deutsch
friend; der Freund
person; die Person
club, society; der Verein
French; Französisch
gentleman, sir; der Herr
member; das Mitglied
team; die Mannschaft
lady; die Dame
human; der Mensch
enemy; der Gegner
citizen, member of society; der Bürger
audience, public; das Publikum
proportion, ratio; das Verhältnis
group; die Gruppe
name; der Name
population; die Bevölkerung
English; englisch
community; die Gemeinde
guest; der Gast
public; die Öffentlichkeit
beginner; der Anfänger
buyer; der Käufer
fan; der Fan
membership; die Mitgliedschaft
user; der Nutzer
resident; der Einwohner
consumer, user; der Verbraucher
adult; der Erwachsene
