German,Vietnamese
nhập khẩu; to import
trộn; to mix
gọi; to order/call
xuất khẩu; to export
bay; to fly
tiếp tục; to continue
xuất hiện; to appear
cho rằng; to assume
theo; to follow
gặp; to meet
cảm thấy; to feel
dành; to spend time
ghét; to hate
giới thiệu; to introduce
định nghĩa; to define
chờ; to wait
đến; about, to come
tạo ra; to create
giải thích; to explain
nhận được; to receive
vâng lời; to obey
liên hệ; to contact
sở hữu; property; belongings
xây dựng; to build
đợi; to wait
làm bạn; to befriend
kết thúc; end
ngưỡng mộ; to admire
thông báo; to notify
phản bội; to betray
cấm; to prohibit
