English,German
"recently", "kürzlich"
"daily", "täglich"
"appropriate, relevant", "zuständig"
"committed", "verpflichtet"
"original", "original"
"longer", "länger"
"content", "zufrieden"
"visible, apparent", "sichtbar"
"helpful", "hilfreich"
"essential", "wesentlich"
"ready", "bereit"
"young", "jung"
"better", "besser"
"renewed, again", "erneut"
"light, easy", "leicht"
"affectionate", "herzlich"
"personal", "persönlich"
"extreme", "extrem"
"clear", "deutlich"
"automatic", "automatisch"
"international", "international"
"meaningful, sensible", "sinnvoll"
"worth (it)", "wert"
"active", "aktiv"
"available", "verfügbar"
"wrong", "falsch"
"really", "wirklich"
"insignificant", "egal"
"of course, self evident", "selbstverständlich"
"unambiguous", "eindeutig"
"popular", "beliebt"
"scarce", "knapp"
"quiet, peaceful", "ruhig"
"actually", "tatsächlich"
"similar", "ähnlich"
"individual", "individuell"
"necessary", "notwendig"
"complete", "komplett"
"yearly", "jährlich"
"unknown", "unbekannt"
"regional", "regional"
"broken", "kaputt"
"independent", "unabhängig"
"completely", "völlig"
"fit", "fit"
"open", "offen"
"delighted", "begeistert"
"general", "allgemein"
"excellent", "ausgezeichnet"
"responsible", "verantwortlich"
"private", "privat"
"sudden", "plötzlich"
"important", "wichtig"
"genuine", "echt"
"slow", "langsam"
