English,German
"university", "die Universität"
"reader", "der Leser"
"pen", "der Stift"
"elementary school", "die Grundschule"
"exercise", "die Übung"
"grade", "die Note"
"education", "die Bildung"
"test", "der Test"
"research", "die Forschung"
"phase, stage", "das Stadium"
"school", "die Schule"
"class", "die Klasse"
"seminar", "das Seminar"
"library", "die Bibliothek"
"lesson", "die Lehre"
"training, education", "die Ausbildung"
"training, practice", "das Training"
"college, university", "die Hochschule"
"institute", "das Institut"
"instruction", "der Unterricht"
"upbringing", "die Erziehung"
"university", "die Uni"
"continuing education", "die Weiterbildung"
"exam", "die Prüfung"
"kindergarten", "der Kindergarten"
