German,Spanish
Morgen; mañana
die Uhrzeit; la hora (&quot;nos vemos a la misma hora&quot;)
die Uhr; el reloj
die Zeit; el tiempo
das Jahr; el año
die Minute; el minuto
die Stunde; la hora
der Tag; el día
der Mittag; almuerzo
der Montag; lunes
der Dienstag; martes
der Mittwoch; miercoles
der Donnerstag; jueves
der Freitag; viernes
der Samstag; sábado
der Sonntag; domingo
letzte; último, pasado
die Woche; la semana
der Kalender; el calendario, el almanaque
die Sekunde; el segundo (de tiempo)
der Monat; el mes
der Sonnabend; sábado (antedomingo)
die Nacht; la noche
der Abend; la tarde (parte del día)
die Jahreszeit; temporada
der Januar; enero
der Februar; febrero
der März; marzo
der April; abril
der Mai; mayo
der Juni; junio
der Juli; julio
der August; agosto
der September; septiembre
der Oktober; octubre
der November; Noviembre
der Dezember; deciembre
das Weihnachten; navidad
der Urlaub; vacaciones
der Werktag; la jornada de trabajo
der Moment; el momento
die Zukunft; el futuro
das Jahrhundert; el siglo
der Zeitpunkt; el momento
der Termin; la cita
die Vergangenheit; el pasado
der Sommer; verano
die Uhrzeit; la hora (&quot;nos vemos a la misma hora&quot;)
das Ende; el fin
die Phase; la fase
der Geburtstag; el cumpleaños
das Wochenende; el fin de semana
das Alter; la edad
das Quartal; el trimestre
der Schluss; final, conclusión
der Herbst; el otoño
das Datum; la fecha
die Dauer; la duración
der Zeitraum; el periodo, el lapso de tiempo
der Alltag; vida cotidiana, quehacer diario
letzte(-n); pasado, último
