English,German
"street", "die Straße"
"castle", "das Schloss"
"city", "die Stadt"
"hotel", "das Hotel"
"airport", "der Flughafen"
"country", "das Land"
"room", "das Zimmer"
"left", "links"
"right", "rechts"
"Europe", "Europa"
"restaurant", "das Restaurant"
"foreign country", "das Ausland"
"square", "der Platz"
"to found, establish", "gründen"
"home town", "die Heimat"
"area", "der Bereich"
"place", "der Ort"
"central", "zentral"
"ring, circle", "der Ring"
"along", "entlang"
"district", "der Bezirk"
"railway station", "der Bahnhof"
"city", "die City"
"east", "osten"
"north", "norden"
"west", "westen"
"south", "süden"
"bar", "die Bar"
"vacation home", "das Ferienhaus"
"station", "die Station"
"interior", "das Innere"
"courtyard", "der Hof"
"surroundings, environs", "die Umgebung"
"area", "die Fläche"
"center", "das Zentrum"
"plot of land", "das Grundstück"
"island", "die Insel"
"lodging", "die Unterkunft"
"rural district", "der Landkreis"
"site, position(not die Stelle)", "der Standort"
"village", "das Dorf"
"boarding house, hotel", "die Pension"
"building", "das Gebäude"
"hall", "die Halle"
"park", "der Park"
"club", "der Club"
"bridge", "die Brücke"
"federal state", "das Bundesland"
