English,German
"football, soccer", "der Fuﬂball"
"swimming pool", "das Schwimmbad"
"bicycle", "das Fahrrad"
"ball", "der Ball"
"activity", "die Aktivit‰t"
"national league", "die Bundesliga"
"viewer, spectator", "der Zuschauer"
"tennis", "das Tennis"
"victory", "der Sieg"
"league", "die Liga"
"team", "das Team"
"to ski", "Ski fahren"
"movement", "die Bewegung"
"spare time", "die Freizeit"
"college, high school", "das Gymnasium"
"game", "das Spiel"
"hobby", "das Hobby"
"player", "der Spieler"
