English,Spanish
"the entry, the admission", "el ingreso"
"the income", "los ingresos"
"the property", "la propiedad"
"the gold", "el oro"
"the meeting", "la reunión"
"the company, the venture (e..)", "la empresa"
"the market", "el mercado"
"the company (c..)", "la compañía"
"the meeting, the board", "la junta"
"the investment", "la inversión"
"the lecture, the conference", "la conferencia"
"the inflation", "la inflación"
"the economy", "la economía"
"economic, cheap", "económico"
"the sale", "la venta"
"the cost", "el costo"
"the negotiation", "la negociación"
