German;Spanish
würde; haría
falls; si
präsentieren; presentar
nennen; denominar, llamar
zählen; contar
wechseln; cambiar
erfahren; enterar, saber
ich würde gern; me gustaría
vergeben; perdonar
installieren; instalar
erwarten; esperar
schauen; mirar
behalten; guardar, quedarse con
unterstützen; apoyar
vergessen; olvidar
verlassen; dejar
erleben; experimentar
wirken; tener efecto
vergrößern; ampliar
ermöglichen; hacer posible
sprechen; hablar
verhindern; impedir
drucken; imprimir
handeln; actuar
lösen; resolver
verfügen; disponer
anfragen; preguntar
verändern; cambiar
brennen; quemar, arder
einstellen; dar empleo
antworten; contestar, responder
mieten; alquilar
dienen; servir
prüfen; probar, chequear
achten; respetar
reden; hablar
