German,Spanish
"die Bedeutung", "el significado"
"die Idee", "idea"
"das Wörterbuch", "diccionario"
"die Unterhaltung", "conversación, diversión"
"die Beschreibung", "descripción"
"die Sprache", "lenguaje"
"das Handbuch", "manual"
"die Geschichte", "historia"
"die Zusammenfassung", "resumen"
"das Wort", "palabra"
"die Schrift", "escritura"
"die Zustimmung", "aprobación"
"der Text", "texto"
"die Wörter", "palabras"
"der Bericht", "informe"
"der Titel", "título"
"das Konzept", "concepto"
"die Meinung", "la opinión, el punto de vista"
"die Erklärung", "explicación"
"die Übersetzung", "traducción"
"das Zeichen", "signo"
"das Kapitel", "capítulo"
"das Verzeichnis", "índice, lista"
"der Begriff", "el concepto, la noción, el término"
"der Satz", "frase"
"ist im Begriff zu", "está a punto de"
