English;Vietnamese
tiền; money
đô la; dollar
đồng; (Vietnamese currency)
kinh doanh; business
sản phẩm; product
bảo hiểm; insurance
công nghiệp; industry
vàng; yellow, gold
giao dịch; transaction
rủi ro; risk
toàn cầu hoá; globalization
thị trường; market
chứng khoán; stock
nhãn hiệu; brand
hợp đồng; contract
kinh phí; budget
tiền tệ; currency
lệ phí; fee
tiền mặt; cash
hóa đơn; invoice, bill
quảng cáo; advertisement
chi phí; cost
công ty; company
lợi nhuận; profit
tổ chức; organization
đa quốc gia; multinational
séc; check
giá; price
cuộc phỏng vấn; interview
cuộc họp; a meeting
tỷ giá; exchange rate
quỹ; fund, treasury
trốn thuế; tax evasion
giám đốc; director
tập đoàn; corporation
phá sản; to go bankrupt
