German,Vietnamese
chìa khoá; key
bàn chải; brush
thư; letter
tờ giấy; paper
hộp; box
cờ; flag
vật thể; object
bột; powder
thang; ladder
búa; hammer
máy; machine, engine
từ điển; dictionary
kính; glasses
nhẫn; (finger-) ring
ảnh; photograph
quạt; fan
tủ lạnh; refrigerator
bong bóng; balloon
nam châm; magnet
thiệp; card
bàn phím; keyboard
thẻ tín dụng; credit card
màn hình; monitor, screen
bút chì; pencil
dao; knife
diều; kite
máy ảnh; camera
quà; gift
kéo; scissor
máy giặt; washing machine
máy tính bảng; tablet
liềm; sickle
lược; comb
nhật ký; diary
