German,Vietnamese
lợi ích; benefit
tình huống; situation
tôn giáo; religion
nỗ lực; effort
chú ý; attention
cuộc sống; life
niềm tin; belief, faith
tín hiệu; signal light
tính thực tế; reality
thiệt hại; damage
bí mật; secret
hành vi; behavior
vị trí; position
lối thoát; exit
chữ ký; signature
cố gắng; attempt
sự kiện; event
kinh nghiệm; experience
sợ hãi; fear
ký hiệu; sign
giấy phép; production permit
hậu quả; consequence
biểu tượng; symbol
niềm vui; joy, happiness
xu thế; trend
truyền thống; conservative, traditional
lỗi; error, fault
trách nhiệm; responsibility
trạng thái; state, condition
không gian; (outer) space
danh dự; honor
thái độ; attitude
ký ức; memory
nụ cười; a smile
thành tích; achievement
bóng; ball, shadow
