English;German
the war; la guerra
the president; el presidente
the society; la sociedad
the law (l..); la ley
the party (political), the game (match); el partido
the government; el gobierno
the minister; el ministro
the election; la elección
the politician; el político
liberty, freedom; la libertad
the law, the right (d..); el derecho
the organization (fem.); la organización
the advice; el consejo
the safety, the security; la seguridad
the justice; la justicia
the crisis; la crisis
the ministry; el ministerio
the plan; el plan
the congress; el congreso
the administration; la administración
the defense; la defensa
the army; el ejército
the campaign; la campaña
