English,German
"president", "der Präsident"
"association", "der Verband"
"Federal Republic", "die Bundesrepublik"
"political party", "die Partei"
"authority, council", "die Behörde"
"success", "der Erfolg"
"contract, treaty", "der Vertrag"
"politics", "die Politik"
"interest", "das Interesse"
"republic", "die Republik"
"king", "der König"
"advice", "der Rat"
"fight, battle", "der Kampf"
"approval", "die Genehmigung"
"freedom", "die Freiheit"
"state", "der Staat"
"choice", "die Wahl"
"judgment", "das Urteil"
"law", "das Gesetz"
"government", "die Regierung"
"ministry, department", "das Ministerium"
"strategy", "die Strategie"
"right, law", "das Recht"
"survey", "die Umfrage"
"office", "das Amt"
"economy", "die Wirtschaft"
"guided tour", "die Führung"
"instruction", "die Vorschrift"
"to choose", "wählen"
"influence", "der Einfluss"
"to steer", "steuern"
"federal government", "die Bundesregierung"
"police", "die Polizei"
"city hall", "das Rathaus"
"empire", "das Reich"
"trial, process", "der Prozess"
"to damage", "schaden"
"rule", "der Regel"
"decision", "die Entscheidung"
"agreement", "die Vereinbarung"
"control", "die Kontrolle"
"to proceed, act", "verfahren"
