English,Spanish
"the effect", "el efecto"
"the research, the investigation", "la investigación"
"the need, the necessity", "la necesidad"
"the program", "el programa"
"the quality", "la calidad"
"the character, the characteristic (c..)", "el carácter"
"the control", "el control"
"the result", "el resultado"
"the importance", "la importancia"
"the origin", "el origen"
"official", "oficial"
"the objective", "el objetivo"
"the growth", "el crecimiento"
"the success", "el éxito"
"the construction", "la construcción"
"the memory", "la memoria"
"the expression", "la expresión"
"the practice", "la práctica"
"the conscience", "la conciencia"
"the creation", "la creación"
"luck", "la suerte"
"the aspect", "el aspecto"
