"I’d like a __________, please.",Ich möchte bitte ein
"Could I get the bill, please?","Die Rechnung, bitte."
Where is the bathroom?,Wo ist die Toilette?
Excuse me.,Entschuldigung.
Thank you.,Danke.
You’re welcome.,Bitte.
"One more, please.",Bitte noch eins.
My name is______________.,Mein Name ist______________.
How are you?,Wie geht es Ihnen?
Good.,Gut.
So- so.,Es geht so.
Are you all right?,Ist alles in Ordnung?
Where are you from?,Woher kommen Sie?
It’s nice to meet you.,"Schön, Sie kennen zu lernen."
Likewise.,Gleichfalls.
Meeting and greeting,Treffen und Begrüßen
Hello.,Hallo.
Good morning.,Guten Morgen.
Good afternoon.,Guten Tag.
Good evening.,Guten Abend.
Goodbye.,Auf Wiedersehen.
See you later.,Bis später.
I don’t understand.,Ich verstehe Sie nicht.
Do you speak English?,Sprechen Sie Englisch?
It was nice to see you.,"Es war schön, Sie kennen zu lernen."
What’s your name?,Wie heißen Sie?
My name is……..,Ich heiße ……..
I’m sorry.,Tut mir Leid.
Take care.,Bis dann.
Bye,Tschüs
Yes,Ja
No,Nein
Where do you live?,Wo wohnen Sie?
I live in______________.,Ich wohne in______________.
