English;German
discussion; die Diskussion
greeting; der Gruß
letter; der Brief
television (not Fernsehen); der Fernseher
note; die Notiz
news; die Nachricht
magazine; die Zeitschrift
television (not Fernseher); das Fernsehen
radio; das Radio
phone; das Telefon
address; die Adresse
communication; die Kommunikation
computer; der Computer
internet; das Internet
website; die Internetseite
search; die Suche
profile; das Profil
key (on a keyboard); die Taste
password; das Kennwort
hard drive; die Festplatte
monitor; der Monitor
keyboard; die Tastatur
email; das Email
network; das Netzwerk
search engine; die Suchmaschine
net, web; das Netz
to talk, speak; reden
