"German;Spanish"
"nehmen;recoger"
"brechen;romper"
"erschrecken;asustar"
"essen;comer"
"geben;dar"
"gelten;valer"
"helfen;ayudar"
"messen;medir"
"schmelzen;derretirse"
"sprechen;hablar"
"stechen;picar"
"sterben;morir"
"treffen;encontrar"
"treten;dar una patada"
"verderben;estropearse, pervetir"
"vergessen;olvidar"
"werfen;tirar"
"werben;hacer publicidad"
"befehlen;ordenar"
"empfehlen;recomendar"
"geschehen;pasar"
"lesen;leer"
"sehen;ver"
"stehlen;robar"
"blasen;soplar"
"fahren;manejar"
"fangen;coger"
"graben;cavar"
"halten;aguantar"
"laden;cargar"
"lassen;dejar"
"schlafen;dormir"
"schlagen;pegar"
"tragen;calzar"
"wachsen;crecer, aumentar"
"waschen;lavar"
"fallen;caer"
"raten, empfehlen;recomendar"
"laufen;correr"
"saufen;beber alcohol en exceso"
