English,German
option; die Option
seat; der Sitz
calculation; die Berechnung
figure; die Figur
origin; die Herkunft
connection (TV, internet); der Anschluss
principle; das Prinzip
order; die Ordnung
tone; der Ton
serial; die Serie
feature; das Merkmal
purpose; der Zweck
exchange; der Austausch
department; die Abteilung
care, looking after; die Betreuung
preparation; die Vorbereitung
opposite; der Gegensatz
course; der Lauf
advantage; der Vorteil
frame; die Fassung
format, size; das Format
management, leadership; die Leitung
situation; die Situation
overview; die Übersicht
source, spring; die Quelle
coherence; der Zusammenhang
distance; die Entfernung
exception; die Ausnahme
information; die Angabe
truth; die Wahrheit
line; die Linie
plateau, plane, surface, floor; die Ebene
dot; der Punkt
name, term; die Bezeichnung
risk; das Risiko
word, expression; der Ausdruck
standard; der Standard
construction; der Aufbau
protection; der Schutz
result, consequence; die Folge
possibility; die Möglichkeit
responsibility; die Verantwortung
step; der Schritt
opinion; die Ansicht
change; der Wechsel
width; die Breite
depth; die Tiefe
side, page; die Seite
alternative; die Alternative
direction; die Richtung
detail; das Detail
entry, item; der Eintrag
reception; die Aufnahme
nature, way, manner; die Art
part; das Teil
suggestion; die Anregung
middle; die Middle
ribbon; das Band
function; der Funktion
use; die Nutzung
fault; der Fehler
