GER, ESP
"aber","pero"
"abfahren","salir"
"abholen","recoger"
"abschicken","enviar"
"aktuell","actual"
"alles","todo"
"also","así que"
"also","entonces"
"am darauffolgenden Tag","al día siguinte"
"amtlich","oficial"
"anders","distinto"
"anfangen","empezar"
"angenehm","me alegro"
"anhalten","parar"
"ankommen","llegar"
"anscheinend","al parecer"
"anscheinend","parece que"
"anstatt","en lugar de"
"antik","antiguo"
"arabisch","árabe"
"arbeiten","trabajar"
"atlantisch","atlántico"
"auch","también"
"auch nicht","tampoco"
"auf Wiedersehen","adiós"
"ausführen","realizar"
"ausfüllen","rellenar"
"ausgezeichnet","excelente"
"außer","aparte de"
"außerdem","además"
"außergewöhnlich","extraordinario"
"baden","bañarse"
"bauen","construir"
"bedeuten","significar"
"beeindrucken","impresionar"
"begrenzt","limitado"
"bei vielen Leuten","en mucha gente"
"beim Einkaufen","de compras"
"bekannt","conocido"
"benutzen","usar"
"bequem","cómodo"
"besonders","especialmente"
"besser","mejor"
"besser gesagt","mejor dicho"
"bestimmt","determinado"
"besuchen","visitar"
"beträchtlich","considerable"
"bewußt","consciente"
"billig","barato"
"bis zum nächsten Mal","hasta la próxima vez"
"bitte","por favor"
"bitten","pedir"
"bleiben","quedarse"
"bleifrei","sin plomo"
"brauchen","necesitar"
"danke","gracias"
"dann","después"
"darin","dentro"
"das Angebot","la oferta"
"das Automobil","el automóvil"
"das Bad","el baño"
"das Bankkonto","la cuenta bancaria"
"das Beförderungsmittel","el medio de locomoción"
"das Benzin","la gasolina"
"das Bett","la cama"
"das Buch","el libro"
"das Darlehen","el préstamo"
"das Doppelzimmer","la habitación doble"
"das Ehepaar","el matrimonio"
"das Einzelzimmer","la habitación individual"
"das Fleisch","la carne"
"das Formular","el formulario"
"das Frühstück","el desayuno"
"das Gebirge","la montaña"
"das Gebäude","el edificio"
"das Geld","el dinero"
"das Gepäck","el equipaje"
"das Glas","la copa"
"das Haus","la casa"
"das heißt","o sea"
"das Hotel","el hotel"
"das Ideal","el ideal"
"das Innere","el interior"
"das Instrument","el instrumento"
"das Jahr","el año"
"das jetzige","esto de ahora"
"das Kastilische","el castellano"
"das Kind","el niño"
"das Klima","el clima"
"das Kompliment","el piropo"
"das Kunstwerk","la obra de arte"
"das Land","el país"
"das Licht","la luz"
"das Mineralwasser","la agua mineral"
"das Mittagessen","la comida"
"das Obst","la fruta"
"das Paar","el par"
"das Papier","el papel"
"das Parken","el aparcamiento"
"das Problem","el problema"
