English;Spanish
the occasion; la ocasión
the look; la mirada
the issue, the matter; el asunto
the beginning, the principle; el principio
the trial; el juicio
vision; la visión
the selection; la selección
the internet, the network (r..); la red
the access; el acceso
the content; el contenido
the end, the term (t..); el término
the frequency; la frecuencia
the danger; el peligro
the height; la altura
the scene; la escena
the thought; el pensamiento
the application; la aplicación
the character (p..); el personaje
the competition; la competencia
the protection; la protección
the circumstance; la circunstancia
the purpose; el propósito
