German;Spanish
der Junge; el chico
die Babys; los bebés
Deutsch; alemán
der Freund; el amigo
die Freundin; la amiga
die Person; la persona
der Verein; club, asociación, organización
Französisch; francés (adj.)
der Herr; el señor, el hombre
die Frau; la mujer
das Mitglied; el miembro
die Verbindung; la conexión
die Mannschaft; el equipo
der Mann; el hombre
die Dame; la señora
der Mensch; la persona
die Menschen; la gente
der Gegner; el adversario, el enemigo, el oponente
der Bürger; el ciudadano, el habitante
der Heimwerker; el manitas
das Publikum; la audiencia
das Verhältnis; la relación
die Gruppe; el grupo
der Name; el nombre
die Bevölkerung; la población
Englisch; inglés
die Gemeinde; la comunidad
der Gast; el huespéd, el invitado
der Anfänger; el novato, el principante
die Öffentlichkeit; el público
der Käufer; el comprador
der Fan; el fan
die Mitgliedschaft; la afiliación, la membrecía
der Nutzer; el usuario, el consumidor
der Einwohner; el habitante
die Integration; la integración
der Verbraucher; el consumidor, el usuario
Erwachsene; el adulto
