German;Spanish
der Euro; Euro
das Gold; oro
die Fabrik; fábrica
der Inhaber; dueño
die Aktie; acción
das Geschäft; negocio
der Preis; precio
die Bäckerei; panadería
die Arbeit; trabajo
der Marktplatz; mercado
das Unternehmen; empresa, compañía
das Dokument; documento
das Gebot; mieten
die Firma; empresa, compañía
die Bestellung; orden, pedido
der Laden; tienda (de compras)
die Kleinanzeigen; clasificados, anuncios
der Betrag; contribución, cuota
die Beratung; asesoramiento, consulta
der Artikel; artículo
die Kasse; la caja (para cobrar, en supermercados, etc.)
das Projekt; proyecto
der Management; administración
die Karriere; carrera
der Dollar; dólar
das Business; negocio(s)
der Cent; centavo, céntimo
der Wettbewerb; concurso,competición
die Organisation; organización
die Finanzierung; financiación
der Wert; valor(monetario)
die Werbung; publicidad
der Handel; comercio
der Gewinn; ganancia
kaufen; comprar
der Job; trabajo
die Jobs; trabajos
