German,Spanish
herzlich; cordialmente, afectuoso
komplett; completo
fit; en forma, en buena forma corporal
automatisch; automático
kaputt; roto
erneut; de nuevo
echt; auténtico, genuino, original
langsam; despacio
international; internacional
relativ; relativo
regional; regional, local
schön; guapo, bonito, bello
müde; cansado
eindeutig; inequívoco, evidente
schöner; más bonito, más guapo
plötzlich; De pronto, de repente, súbito, a bote pronto, brusco
ruhig; tranquilo
täglich; a diario, diariamente
jährlich; cada año, anualmente
leicht; fácil, ligero
wesentlich; fundamental, esencial
kürzlich; hace poco, recién
leichter; más fácil
begeistert; entusiasmado
original; original
persönlich; personalmente
beliebt; querido, apreciado, popular
selbstverständlich; por supuesto, evidente, por descontado
völlig; plenamente, enteramente, totalmente
verpflichtet; comprometido, obligado
aktiv; activo
wichtiger; más importante
abhängig; dependiente
jung; joven
verfügbar; disponible
zufrieden; satisfecho, contento
stärker; más fuerte
wirklich; real, de verdad
knapp; escaso, justo
privat; privado
höher; más alto
allgemein; generalizado, común, público
bereits; ya
bereit; listo
individuell; individual
kleiner; más pequeño
tatsächlich; efectivamente, realmente
zuständig; responsable
veräntwortlich; responsable
besser; mejor
länger; más largo
sichtbar; visible
sinnvoll; razonable, tiene sentido
falsch; falso, erróneo, incorrecto
wert; digno de
ausgezeichnet; distinguido, excelente, destacado
ähnlich; similar, semejante
notwendig; obligatorio, necesario
egal; indiferente,igual
extrem; extremo, extremadamente
hilfreich; útil
unabhängig; independiente
unbekannt; desconocido
deutlich; claramente, claro, marcado, articulado
offen; abierto
