English;German
tired; müde
last; letzt
old; alt
teenaged; jugendlich
free; kostenlos
whole; gesamt
new; neu
special; speziell
interesting; interessant
necessary; notwendig
fitting, appropriate; passend
particular; eigen
special; besonder
private; privat
international; international
most important; wichtigste
next; nächst
others, remaining; übrigen
further; weiter
individual; individuell
accidental, random; zufällig
European; europäisch
left; link
current; aktuell
external; extern
alone; einzeln
